title,link,exp,company,salary,cities,tags
Middle/Senior Python Developer,https://jobs.dou.ua/companies/chi-software/vacancies/200400/,1-3, CHI Software,,віддалено,"Python,Django,Flask,Git,SQL,REST,AWS,PostgreSQL,AI,React,NoSQL,CI/CD,Vue,Angular"
Full-Stack Developer (Vue.js\Python),https://jobs.dou.ua/companies/octy-apps/vacancies/278693/,1-3, Octy,,віддалено,"Python,REST,API,AI,JavaScript,JS,Vue"
Middle Python Developer,https://jobs.dou.ua/companies/inoxoft/vacancies/278768/,1-3, Inoxoft,,"Львів, Вроцлав (Польща), віддалено","Python,Flask,SQL,Docker,AWS,PostgreSQL,AI,React,Terraform,TypeScript"
Python QA Automation Engineer (Kyiv Office),https://jobs.dou.ua/companies/netgame/vacancies/261539/,1-3, NetGame,,Київ,"Python,SQL,API,JS,CSS"
Python Developer in Test,https://jobs.dou.ua/companies/ajax-systems/vacancies/270677/,1-3, Ajax Systems,,Київ,"Python,Git,API,Linux,Jenkins"
Embedded Python in Test,https://jobs.dou.ua/companies/everstar/vacancies/276485/,1-3, Everstar,,Київ,"Python,Linux"
"Backend developer (Python, PHP)",https://jobs.dou.ua/companies/zviger-auto/vacancies/279474/,3-5, Zviger LLC,$2000–3000,віддалено,"Python,SQL,API,Docker,JavaScript,NoSQL"
Senior SysOps Engineer,https://jobs.dou.ua/companies/intellias/vacancies/276499/,3-5, Intellias,,віддалено,"Python,SQL,Docker,AWS,Linux,AI,Kubernetes,Terraform,CI/CD,Ansible"
Parttime Senior Python — Remote,https://jobs.dou.ua/companies/exb/vacancies/276517/,3-5, EXB SOFT,від $3500,віддалено,"Python,SQL,REST,API,PostgreSQL,JS,React,NoSQL,MongoDB,Angular"
Senior Data/Python Engineer,https://jobs.dou.ua/companies/turnkey-labs/vacancies/268742/,5plus, TurnKey Labs,,віддалено,"Python,SQL,AWS,AI,NoSQL,Terraform"
